,MSE,MAE,MAPE
GE,4.184906084130837,1.6219426362410836,2.9291610077818877
GEN,0.7818350294391362,0.6186355756676716,2.3995743724461738
GILD,0.8645300856233408,0.7108504917310634,1.2502148484109414
GIS,1.8680703818719624,1.0182981408160667,1.6228324191099919
GL,3.5588258115564537,1.574780273437499,1.6181468089920648
GLW,1.667845702913948,0.9474983712901239,2.744736351049891
GM,4.866724923319619,1.6669507233992866,3.560914843464867
GNRC,290.9471461449406,13.646511310079823,4.93896291596939
GOOG,17.389809107620003,3.3598518039869227,2.5701729270494735
GOOGL,23.771316330067553,3.9724363244098164,3.063198430502089
GPC,12.016756002874232,2.8818505328634503,2.336293269843719
GPN,16.012985068365786,3.0753532741380774,2.3400869806682456
GRMN,8.927236893617186,2.3220984417459243,2.116899392914001
GS,148.37599585373758,9.461209239130433,2.9774477767598206
GWW,154.65736792764605,9.889874532948374,2.073075009037809
HAL,1.8535923042358016,1.0852515842603598,3.3864963967076154
HAS,5.623620048263011,1.8709040766176974,2.3025852492478296
HBAN,0.28268610949026357,0.42757588262143326,3.209006963639199
HCA,85.09165871287904,5.966011644446334,2.5811336870558215
HD,97.5544736504069,7.573568592900816,2.394095421977761
HES,50.881134627161174,6.405445264733354,6.703321615495381
HIG,5.956630504880171,2.1005185334578806,3.134160923774474
HII,30.444726620756253,4.2279530400815215,2.2044681883436894
HLT,39.94583723341348,5.007186955990998,3.390248228917409
HOLX,4.0565135248714,1.6150472889775815,2.1772776095188995
HON,25.972045791169393,4.143946639351223,2.199451450635866
HPE,0.23794876876804075,0.3935040681258492,2.643467344213931
HPQ,1.3894374006029542,0.9334980010986328,2.7595506584573033
HRL,1.0040382672036732,0.7398951323136042,1.5887156805215241
HSIC,3.414653870053893,1.4070887690005096,1.7206032804508518
HST,0.2491073162429687,0.39233010333517315,2.347789262958559
HSY,14.551611504784747,2.636854354194973,1.3473772706933547
HUBB,15.056830550163351,3.0651738705842413,1.6811536862906509
HUM,206.61015353769716,9.020287555197012,2.1816951666457096
HWM,2.5197352496880536,1.3273546965225884,3.9179834437003196
IBM,8.537728167835464,2.236639138926632,1.8968243195559138
ICE,14.402773617057186,2.807106217094091,2.37887716613421
IDXX,1316.217242883697,28.1920266856318,5.8586689372963505
IEX,16.024159173801035,3.234991985818611,1.6407134207752565
IFF,10.259839325916507,2.5191302755604617,2.068518426520532
INCY,3.1580961879216254,1.3660183450450067,1.8537117026292338
INTC,3.426934260192692,1.5180050393809446,3.433510314213819
INTU,1074.2247805315594,27.46780607804008,5.73695812177172
INVH,1.7612437850669147,1.1560599949048913,3.0412728512158664
IP,0.9430697126520299,0.7503358592157776,1.8562231412004475
IPG,1.3433977778075048,0.9207293137260103,2.8513375529653517
IQV,66.90849217153762,6.401574176290762,2.7355023766071604
IR,4.011797426194307,1.6275340204653534,3.1488687811107816
IRM,2.430795646037619,1.2533400494119395,2.7767788513894955
ISRG,234.95916498334594,12.612754224694294,4.467026499959094
IT,155.91074974876824,9.45670975394871,3.3567831764668767
ITW,20.490423737863154,3.800438126273776,1.8504988540412337
IVZ,0.7196941535785779,0.6723906309708305,3.612427957171702
J,14.931577895818593,3.105463177224864,2.370353432391197
JBHT,47.337932370412766,4.781829833984375,2.6014002640890683
JBL,8.152770231986095,2.34221655804178,3.8023569054189506
JCI,3.3290635269235214,1.408058664073115,2.3144876681657776
JKHY,11.656786982761693,2.8798720650050953,1.6535821006730824
JNJ,6.609507755623407,2.202094301970109,1.379714661699304
JNPR,1.0399204877245372,0.8166387640911601,2.5941370081104456
JPM,18.05912240691098,3.3069216520889935,2.503406814637862
K,1.574919888188519,0.9974520807680873,1.756143765289084
KDP,0.5628157465069861,0.6400260096010955,1.821482525459201
KEY,0.6814306784159744,0.6540457352347995,3.2310191411064353
KEYS,28.64909085662954,4.316632345448368,2.661864213941357
KHC,0.9968133330704844,0.6793651912523357,1.9654219137642097
KIM,0.24923283091028803,0.39182221785835597,1.8471069604243984
KKR,7.712882296468572,2.2396114515221637,3.8098759902704407
KLAC,184.30680340125184,10.849013884171196,3.0393451579957493
KMB,6.118833795833183,1.6470649387525496,1.3561836805439953
KMI,0.28228541778230676,0.43149657871412206,2.794276004508465
KMX,14.410603297725526,3.0647816533627714,2.897743067835289
KO,1.7380036967140913,1.1237359751825744,1.9713080995318963
KR,5.230919114637958,1.8592691172724185,3.8285023448772924
L,1.7676453193235864,1.0805158200471296,1.7734967636921233
LDOS,6.500994922212612,2.008017233143683,2.085921946291838
LEN,17.44263854691222,3.294144937266475,3.8263049666506723
LH,34.34439415793826,4.620390120796535,2.04233448708512
LHX,77.60222183401774,6.945524398140283,3.0850836486121733
LIN,57.22671201034733,6.056746242357337,2.029732402504536
LKQ,4.591809848672202,1.7349336043648096,3.586869612990444
LLY,56.91223819563166,5.900673775050952,2.2282110100995594
LMT,196.17924065239237,10.773927108101224,2.6874524928720755
LNT,1.0470419836128106,0.7913910243822193,1.4336929726557215
LOW,40.37443823093427,5.063807346509851,2.417673542751522
LRCX,576.4255358714773,19.657008958899464,3.671119580193101
LULU,359.42760755367107,15.64054512355639,4.735931987166656
LUV,1.939937693533062,1.1131847215735398,2.6691794151774006
LVS,3.5890306595316837,1.4621127584706182,4.013942940257999
LW,3.1666013558887447,1.2364136737325917,2.097838648099025
LYB,9.793868000143831,2.575265171216882,3.0368679278930966
LYV,19.09371909443137,3.288072337274967,3.047032067246935
MA,119.46275438715746,8.423720119310461,2.412839477927178
MAA,28.56696984223093,4.3766316289487115,2.3532867862741784
MAR,45.45674636519678,5.174383942977242,3.1538329797774045
MAS,2.2864256777509593,1.2531830497409988,2.2830397122292827
MCD,58.1877109669007,6.634352310844089,2.7982080569992065
MCHP,7.877212940665018,2.2244589432426123,3.1618873644605374
MCK,32.26722013709622,4.461058906886889,1.5768733201513914
MCO,68.32261429902816,6.665364671790082,2.0543403804494416
MDLZ,1.7802527071110925,1.105115674889606,1.8167671561292973
MDT,5.168069402003939,1.7486155634341027,1.788322842138933
MET,6.677925456125975,2.176926787003227,3.5294586574314684
META,445.43469284417966,15.455043759553329,6.813238133723782
MGM,3.905083092849139,1.5437793068263834,3.7034410094718124
MHK,38.86323552152707,4.677844503651492,3.1617142663239006
MKC,7.316594655487338,2.089428511909817,2.2488867411508777
MKTX,290.28189779590286,12.464486163595446,4.003922514916054
MLM,128.4350676985457,9.002642291525136,2.43349746774579
MMC,15.26362459414598,3.044508693529212,1.9468124394532043
MMM,9.653153922703403,2.3999982750934103,2.0874559861795934
MNST,1.7138231635659316,1.053051127558169,2.461514760409498
MO,1.0681640499873766,0.8779771887737767,2.131148996523525
