,MSE,MAE
KR,2.8597499298224096,1.1948764635168994
L,2.1931551338274673,1.2506730452827786
LDOS,3.7008022488975567,1.461754574983017
LEN,13.573890049411899,2.9797016309655233
LH,61.60401876735626,5.944705598250684
LHX,52.75628507568943,5.53408096976902
LIN,57.37794330807645,6.220665707795516
LKQ,3.177405163624738,1.3166168876316233
LLY,67.35562324822962,6.212508093792459
LMT,169.60531719681677,9.472714100713313
LNT,1.0771624552957872,0.801670936916187
LOW,37.58339782941114,4.936384648862091
LRCX,517.3903179921698,18.096021569293484
LULU,416.94369777198085,16.76638289741848
LUV,2.541501798810887,1.2854069917098336
LVS,3.743781829762789,1.508259914232337
LW,3.2968644119125963,1.2893500950025478
LYB,19.102933774474984,3.736776667055876
LYV,20.858968519018557,3.5162265943444293
MA,134.43839500190126,8.843015985903532
MAA,19.184809794509814,3.585311093537706
MAR,39.80264028127145,4.778435350501019
MAS,2.146010299560453,1.20987316629161
MCD,23.536071146443568,3.8408233642578127
MCHP,6.982682669267144,2.0806515569272253
MCK,36.376612066613184,4.896818078082541
MCO,67.04332730063119,6.811167045261551
